id,Zone,Items,Status,Payment,Total_Price
1,Dhanmondi,1 items,DELIVERED,CASH,150Tk
2,Mirpur,1 items,DELIVERED,CASH,45Tk
3,Gulshan/Banani,1 items,DELIVERED,CASH,91Tk
4,Mirpur,1 items,DELIVERED,CARD,320Tk
5,Dhanmondi,1 items,DELIVERED,CASH,105Tk
6,Dhanmondi,1 items,DELIVERED,CASH,60Tk
7,Baily Road / Khilgaon,2 items,DELIVERED,CASH,760Tk
8,Baily Road / Khilgaon,1 items,DELIVERED,CASH,75Tk
9,Gulshan/Banani,1 items,DELIVERED,CASH,91Tk
10,Dhanmondi,1 items,DELIVERED,CASH,60Tk
11,Mohammadpur,2 items,DELIVERED,CASH,47Tk
12,Gulshan/Banani,3 items,DELIVERED,CASH,118Tk
13,Gulshan/Banani,3 items,DELIVERED,CASH,72Tk
14,Mirpur,2 items,DELIVERED,CASH,56Tk
15,Dhanmondi,4 items,DELIVERED,CASH,57Tk
16,Mohammadpur,3 items,DELIVERED,CASH,58Tk
17,Gulshan/Banani,1 items,DELIVERED,CASH,60Tk
18,Gulshan/Banani,3 items,DELIVERED,CASH,56Tk
19,Gulshan/Banani,4 items,DELIVERED,CASH,240Tk
20,Gulshan/Banani,3 items,DELIVERED,CASH,56Tk
21,Mirpur,3 items,DELIVERED,CASH,50Tk
22,Mirpur,2 items,DELIVERED,CASH,689Tk
23,Dhanmondi,4 items,DELIVERED,CASH,45Tk
24,Mirpur,3 items,DELIVERED,CASH,80Tk
25,Gulshan/Banani,2 items,DELIVERED,CASH,104Tk
26,Mohammadpur,3 items,DELIVERED,CASH,204Tk
27,Mirpur,2 items,DELIVERED,CASH,45Tk
28,Dhanmondi,1 items,DELIVERED,CASH,57Tk
29,Mirpur,1 items,DELIVERED,CASH,58Tk
30,Gulshan/Banani,4 items,DELIVERED,CASH,360Tk
31,Gulshan/Banani,2 items,DELIVERED,CASH,90Tk
32,Mirpur,2 items,DELIVERED,CASH,110Tk
33,Gulshan/Banani,3 items,DELIVERED,CASH,112Tk
34,Baily Road / Khilgaon,5 items,DELIVERED,CARD,305Tk
35,Gulshan/Banani,2 items,DELIVERED,CASH,97Tk
36,Mohammadpur,4 items,DELIVERED,CASH,88Tk
37,Dhanmondi,4 items,DELIVERED,CASH,39Tk
38,Mohammadpur,2 items,DELIVERED,CASH,39Tk
39,Mirpur,1 items,DELIVERED,CASH,126Tk
40,Mirpur,2 items,DELIVERED,CASH,39Tk
41,Gulshan/Banani,3 items,DELIVERED,CASH,63Tk
42,Mohammadpur,1 items,DELIVERED,CASH,72Tk
43,Baily Road / Khilgaon,1 items,DELIVERED,CASH,740Tk
44,Baily Road / Khilgaon,1 items,DELIVERED,CASH,63Tk
45,Gulshan/Banani,3 items,DELIVERED,CASH,50Tk
46,Gulshan/Banani,3 items,DELIVERED,CASH,50Tk
47,Baily Road / Khilgaon,1 items,DELIVERED,CASH,234Tk
48,Baily Road / Khilgaon,2 items,DELIVERED,CASH,81Tk
49,Dhanmondi,3 items,DELIVERED,CASH,65Tk
50,Mohammadpur,3 items,DELIVERED,CASH,205Tk
51,Mohammadpur,3 items,DELIVERED,CASH,70Tk
52,Mirpur,2 items,DELIVERED,CASH,39Tk
53,Uttara,5 items,DELIVERED,CASH,185Tk
54,Mohammadpur,2 items,DELIVERED,CASH,97Tk
55,Gulshan/Banani,2 items,DELIVERED,CASH,80Tk
56,Mohammadpur,1 items,DELIVERED,CASH,90Tk
